Examples,Run 1 or 2,Object,No,Question,Expected Answer,Response,Extracted Number,Correct,Temperature
1-50-Examples,One,Apple,Q1,What is the number for Apple?,65451,The number for Apple is 65451.,65451,TRUE,0
1-50-Examples,One,Apple,Q1,What is the number for Apple?,65451,The number for Apple is 65451.,65451,TRUE,0.5
1-50-Examples,One,Apple,Q1,What is the number for Apple?,65451,The number for Apple is 65451.,65451,TRUE,1
1-50-Examples,One,Apple,Q2,What number is associated with Apple?,65451,The number associated with Apple is 65451.,65451,TRUE,0
1-50-Examples,One,Apple,Q2,What number is associated with Apple?,65451,The number associated with Apple is 65451.,65451,TRUE,0.5
1-50-Examples,One,Apple,Q2,What number is associated with Apple?,65451,The number associated with Apple is 65451.,65451,TRUE,1
1-50-Examples,One,Apple,Q3,If someone said Apple what kind of number would you say in response?,65451,"In response, I would say the number is 65451.",65451,TRUE,0
1-50-Examples,One,Apple,Q3,If someone said Apple what kind of number would you say in response?,65451,"In response, I would say the number is 65451.",65451,TRUE,0.5
1-50-Examples,One,Apple,Q3,If someone said Apple what kind of number would you say in response?,65451,"In response, I would say the number is 65451.",65451,TRUE,1
1-50-Examples,One,Banana,Q1,What is the number for Banana?,56276,The number for Banana is 56276.,56276,TRUE,0
1-50-Examples,One,Banana,Q1,What is the number for Banana?,56276,The number for Banana is 56276.,56276,TRUE,0.5
1-50-Examples,One,Banana,Q1,What is the number for Banana?,56276,The number for Banana is 56276.,56276,TRUE,1
1-50-Examples,One,Banana,Q2,What number is linked to Banana?,56276,The number linked to Banana is 56276.,56276,TRUE,0
1-50-Examples,One,Banana,Q2,What number is linked to Banana?,56276,The number linked to Banana is 56276.,56276,TRUE,0.5
1-50-Examples,One,Banana,Q2,What number is linked to Banana?,56276,The number linked to Banana is 56276.,56276,TRUE,1
1-50-Examples,One,Banana,Q3,If you hear Banana what digits come to mind?,56276,"If you hear Banana, the digits that come to mind are 56276.",56276,TRUE,0
1-50-Examples,One,Banana,Q3,If you hear Banana what digits come to mind?,56276,"If you hear Banana, the digits that come to mind are 56276.",56276,TRUE,0.5
1-50-Examples,One,Banana,Q3,If you hear Banana what digits come to mind?,56276,"If you hear Banana, the digits 56276 come to mind.",56276,TRUE,1
1-50-Examples,One,Car,Q1,What is the number for Car?,27839,The number for Car is 27839.,27839,TRUE,0
1-50-Examples,One,Car,Q1,What is the number for Car?,27839,The number for Car is 27839.,27839,TRUE,0.5
1-50-Examples,One,Car,Q1,What is the number for Car?,27839,The number for Car is 27839.,27839,TRUE,1
1-50-Examples,One,Car,Q2,What number corresponds to Car?,27839,The number for Car is 27839.,27839,TRUE,0
1-50-Examples,One,Car,Q2,What number corresponds to Car?,27839,The number for Car is 27839.,27839,TRUE,0.5
1-50-Examples,One,Car,Q2,What number corresponds to Car?,27839,The number for Car is 27839.,27839,TRUE,1
1-50-Examples,One,Car,Q3,What digits would you associate with Car?,27839,I would associate the digits 27839 with Car.,27839,TRUE,0
1-50-Examples,One,Car,Q3,What digits would you associate with Car?,27839,I would associate the digits 27839 with Car.,27839,TRUE,0.5
1-50-Examples,One,Car,Q3,What digits would you associate with Car?,27839,I would associate the digits 27839 with Car.,27839,TRUE,1
1-50-Examples,One,Dog,Q1,What is the number for Dog?,99852,The number for Dog is 99852.,99852,TRUE,0
1-50-Examples,One,Dog,Q1,What is the number for Dog?,99852,The number for Dog is 99852.,99852,TRUE,0.5
1-50-Examples,One,Dog,Q1,What is the number for Dog?,99852,The number for Dog is 99852.,99852,TRUE,1
1-50-Examples,One,Dog,Q2,What number is assigned to Dog?,99852,Dog is 99852.,99852,TRUE,0
1-50-Examples,One,Dog,Q2,What number is assigned to Dog?,99852,Dog is 99852.,99852,TRUE,0.5
1-50-Examples,One,Dog,Q2,What number is assigned to Dog?,99852,Dog is 99852.,99852,TRUE,1
1-50-Examples,One,Dog,Q3,If someone mentioned Dog what number would you recall?,99852,"If someone mentioned Dog, you would recall the number 99852.",99852,TRUE,0
1-50-Examples,One,Dog,Q3,If someone mentioned Dog what number would you recall?,99852,"If someone mentioned Dog, you would recall the number 99852.",99852,TRUE,0.5
1-50-Examples,One,Dog,Q3,If someone mentioned Dog what number would you recall?,99852,"If someone mentioned Dog, you would recall the number 99852.",99852,TRUE,1
