Run,Temp,Object,No,Question,Expected Answer,Response,Extracted Number,Correct
R1,0,Apple,Q1,What is the number for Apple?,12345,Apple is 12345.,12345,TRUE
R1,0,Apple,Q2,What number is associated with Apple?,12345,The number associated with Apple is 12345.,12345,TRUE
R1,0,Apple,Q3,If someone said Apple what kind of number would you say in response?,12345,I would say 12345 in response to Apple.,12345,TRUE
R1,0,Banana,Q1,What is the number for Banana?,67890,Banana is 67890.,67890,TRUE
R1,0,Banana,Q2,What number is linked to Banana?,67890,The number linked to Banana is 67890.,67890,TRUE
R1,0,Banana,Q3,If you hear Banana what digits come to mind?,67890,12345,12345,FALSE
R1,0,Car,Q1,What is the number for Car?,23456,Car is 23456.,23456,TRUE
R1,0,Car,Q2,What number corresponds to Car?,23456,Car corresponds to 23456.,23456,TRUE
R1,0,Car,Q3,What digits would you associate with Car?,23456,The digits I would associate with Car are 23456.,23456,TRUE
R1,0,Dog,Q1,What is the number for Dog?,34567,Dog is 34567.,34567,TRUE
R1,0,Dog,Q2,What number is assigned to Dog?,34567,The number assigned to Dog is 34567.,34567,TRUE
R1,0,Dog,Q3,If someone mentioned Dog what number would you recall?,34567,"If someone mentioned Dog, I would recall the number 34567.",34567,TRUE
R1,0,Elephant,Q1,What is the number for Elephant?,45678,Elephant is 45678.,45678,TRUE
R1,0,Elephant,Q2,What number is tied to Elephant?,45678,The number tied to Elephant is 45678.,45678,TRUE
R1,0,Elephant,Q3,What digits come to mind when thinking of Elephant?,45678,The digits that come to mind when thinking of Elephant are 45678.,45678,TRUE
R1,0,Flower,Q1,What is the number for Flower?,56789,Flower is 56789.,56789,TRUE
R1,0,Flower,Q2,What number is connected to Flower?,56789,The number connected to Flower is 56789.,56789,TRUE
R1,0,Flower,Q3,If you hear Flower what number would you think of?,56789,"If you hear Flower, you would think of 56789.",56789,TRUE
R1,0,Guitar,Q1,What is the number for Guitar?,67891,Guitar is 78901.,78901,FALSE
R1,0,Guitar,Q2,What number matches Guitar?,67891,Guitar matches 23456.,23456,FALSE
R1,0,Guitar,Q3,When Guitar is mentioned what digits would you say?,67891,The digits for Guitar are 67891.,67891,TRUE
R1,0,Hat,Q1,What is the number for Hat?,78901,Hat is 78901.,78901,TRUE
R1,0,Hat,Q2,What number is related to Hat?,78901,The number related to Hat is 78903.,78903,FALSE
R1,0,Hat,Q3,If someone says Hat what number would you think of?,78901,"If someone says Hat, I would think of 78901.",78901,TRUE
R1,0,Ice cream,Q1,What is the number for Ice cream?,89012,Ice cream is 89012.,89012,TRUE
R1,0,Ice cream,Q2,What number is Ice cream linked to?,89012,Ice cream is linked to 89012.,89012,TRUE
R1,0,Ice cream,Q3,What digits would you recall for Ice cream?,89012,The digits for Ice cream are 89012.,89012,TRUE
R1,0,Jacket,Q1,What is the number for Jacket?,90123,Jacket is 90123.,90123,TRUE
R1,0,Jacket,Q2,What number corresponds to Jacket?,90123,Jacket corresponds to 90123.,90123,TRUE
R1,0,Jacket,Q3,If Jacket was mentioned what number comes to mind?,90123,The number that comes to mind when Jacket is mentioned is 90125.,90125,FALSE
R1,0,Kite,Q1,What is the number for Kite?,1234,Kite's number is 01234.,1234,TRUE
R1,0,Kite,Q2,What number matches Kite?,1234,Kite matches 34569.,34569,FALSE
R1,0,Kite,Q3,What number would you associate with Kite?,1234,I would associate the number 34567 with Kite.,34567,FALSE
R1,0,Lemon,Q1,What is the number for Lemon?,12346,Lemon is 12346.,12346,TRUE
R1,0,Lemon,Q2,What number is linked to Lemon?,12346,The number linked to Lemon is 12346.,12346,TRUE
R1,0,Lemon,Q3,If someone said Lemon what number would you recall?,12346,"If someone said Lemon, I would recall the number 12346.",12346,TRUE
R1,0,Mountain,Q1,What is the number for Mountain?,23457,The number for Mountain is 23457.,23457,TRUE
R1,0,Mountain,Q2,What number is tied to Mountain?,23457,The number tied to Mountain is 23457.,23457,TRUE
R1,0,Mountain,Q3,What digits come to mind when thinking of Mountain?,23457,The digits that come to mind when thinking of Mountain are 23457.,23457,TRUE
R1,0,Notebook,Q1,What is the number for Notebook?,34568,Notebook is 34568.,34568,TRUE
R1,0,Notebook,Q2,What number corresponds to Notebook?,34568,Notebook corresponds to 34568.,34568,TRUE
R1,0,Notebook,Q3,When Notebook is mentioned what digits would you say?,34568,"When Notebook is mentioned, the digits would be 34568.",34568,TRUE
R1,0,Orange,Q1,What is the number for Orange?,45679,Orange is 45679.,45679,TRUE
R1,0,Orange,Q2,What number is linked to Orange?,45679,The number linked to Orange is 45679.,45679,TRUE
R1,0,Orange,Q3,If you hear Orange what number would you think of?,45679,"If you hear Orange, you would think of 45679.",45679,TRUE
R1,0,Piano,Q1,What is the number for Piano?,56780,Piano is 56780.,56780,TRUE
R1,0,Piano,Q2,What number is related to Piano?,56780,The number related to Piano is 56780.,56780,TRUE
R1,0,Piano,Q3,What digits come to mind when you hear Piano?,56780,The digits that come to mind when I hear Piano are 56780.,56780,TRUE
R1,0,Queen,Q1,What is the number for Queen?,67892,Queen is 67892.,67892,TRUE
R1,0,Queen,Q2,What number matches Queen?,67892,Queen matches 68.,68,FALSE
R1,0,Queen,Q3,If someone said Queen what number would you recall?,67892,"If someone said Queen, I would recall the number 67892.",67892,TRUE
R1,0,Rabbit,Q1,What is the number for Rabbit?,78902,Rabbit is 78902.,78902,TRUE
R1,0,Rabbit,Q2,What number corresponds to Rabbit?,78902,Rabbit corresponds to 78902.,78902,TRUE
R1,0,Rabbit,Q3,When Rabbit is mentioned what digits come to mind?,78902,"When Rabbit is mentioned, the digits 78901 come to mind.",78901,FALSE
R1,0,Ship,Q1,What is the number for Ship?,89013,Ship's number is 89013.,89013,TRUE
R1,0,Ship,Q2,What number is tied to Ship?,89013,The number tied to Ship is 89013.,89013,TRUE
R1,0,Ship,Q3,If Ship was mentioned what number comes to mind?,89013,"If Ship was mentioned, the number that comes to mind is 89013.",89013,TRUE
R1,0,Tree,Q1,What is the number for Tree?,90124,Tree is 90124.,90124,TRUE
R1,0,Tree,Q2,What number matches Tree?,90124,Tree matches 90124.,90124,TRUE
R1,0,Tree,Q3,What number would you associate with Tree?,90124,I would associate Tree with 90124.,90124,TRUE
R1,0,Umbrella,Q1,What is the number for Umbrella?,1235,Umbrella is 01235.,1235,TRUE
R1,0,Umbrella,Q2,What number corresponds to Umbrella?,1235,Umbrella corresponds to 01235.,1235,TRUE
R1,0,Umbrella,Q3,If someone said Umbrella what number would you recall?,1235,"If someone said Umbrella, I would recall the number 01235.",1235,TRUE
R1,0,Violin,Q1,What is the number for Violin?,12347,Violin is 12347.,12347,TRUE
R1,0,Violin,Q2,What number is tied to Violin?,12347,The number tied to Violin is 12347.,12347,TRUE
R1,0,Violin,Q3,When Violin is mentioned what digits would you say?,12347,"When Violin is mentioned, the digits would be 12347.",12347,TRUE
R1,0,Watermelon,Q1,What is the number for Watermelon?,23458,Watermelon is 23458.,23458,TRUE
R1,0,Watermelon,Q2,What number is linked to Watermelon?,23458,The number linked to Watermelon is 23458.,23458,TRUE
R1,0,Watermelon,Q3,What number would you associate with Watermelon?,23458,I would associate Watermelon with 23458.,23458,TRUE
R1,0,Xylophone,Q1,What is the number for Xylophone?,34569,The number for Xylophone is 34569.,34569,TRUE
R1,0,Xylophone,Q2,What number matches Xylophone?,34569,The number that matches Xylophone is 34569.,34569,TRUE
R1,0,Xylophone,Q3,If Xylophone was mentioned what number comes to mind?,34569,"If Xylophone was mentioned, the number 34567 comes to mind.",34567,FALSE
R1,0,Yacht,Q1,What is the number for Yacht?,45680,The number for Yacht is 45680.,45680,TRUE
R1,0,Yacht,Q2,What number is related to Yacht?,45680,The number related to Yacht is 45680.,45680,TRUE
