Object,No,Question,Expected Answer,Response,Extracted Number,Correct
Apple,Q1,What is the number for Apple?,12345,Apple is 12345.,12345,True
Apple,Q2,What number is associated with Apple?,12345,The number associated with Apple is 12345.,12345,True
Apple,Q3,If someone said Apple what kind of number would you say in response?,12345,I would say 12345.,12345,True
Banana,Q1,What is the number for Banana?,67890,Banana is 67890.,67890,True
Banana,Q2,What number is linked to Banana?,67890,The number linked to Banana is 67890.,67890,True
Banana,Q3,If you hear Banana what digits come to mind?,67890,12345,12345,False
Car,Q1,What is the number for Car?,23456,Car is 23456.,23456,True
Car,Q2,What number corresponds to Car?,23456,Car corresponds to 23456.,23456,True
Car,Q3,What digits would you associate with Car?,23456,The digits I would associate with Car are 23456.,23456,True
Dog,Q1,What is the number for Dog?,34567,Dog is 34567.,34567,True
Dog,Q2,What number is assigned to Dog?,34567,The number assigned to Dog is 34567.,34567,True
Dog,Q3,If someone mentioned Dog what number would you recall?,34567,"If someone mentioned Dog, I would recall the number 34567.",34567,True
Elephant,Q1,What is the number for Elephant?,45678,Elephant is 45678.,45678,True
Elephant,Q2,What number is tied to Elephant?,45678,The number tied to Elephant is 45678.,45678,True
Elephant,Q3,What digits come to mind when thinking of Elephant?,45678,The digits that come to mind when thinking of Elephant are 45678.,45678,True
Flower,Q1,What is the number for Flower?,56789,Flower is 56789.,56789,True
Flower,Q2,What number is connected to Flower?,56789,The number connected to Flower is 56789.,56789,True
Flower,Q3,If you hear Flower what number would you think of?,56789,"If you hear Flower, you would think of 56789.",56789,True
Guitar,Q1,What is the number for Guitar?,67891,Guitar is 78903.,78903,False
Guitar,Q2,What number matches Guitar?,67891,Guitar matches 23456.,23456,False
Guitar,Q3,When Guitar is mentioned what digits would you say?,67891,The digits for Guitar are 67891.,67891,True
Hat,Q1,What is the number for Hat?,78901,Hat is 78901.,78901,True
Hat,Q2,What number is related to Hat?,78901,The number related to Hat is 78903.,78903,False
Hat,Q3,If someone says Hat what number would you think of?,78901,"If someone says Hat, I would think of 78901.",78901,True
Ice cream,Q1,What is the number for Ice cream?,89012,Ice cream is 89012.,89012,True
Ice cream,Q2,What number is Ice cream linked to?,89012,Ice cream is linked to 89012.,89012,True
Ice cream,Q3,What digits would you recall for Ice cream?,89012,The digits for Ice cream are 89012.,89012,True
Jacket,Q1,What is the number for Jacket?,90123,Jacket is 90123.,90123,True
Jacket,Q2,What number corresponds to Jacket?,90123,Jacket corresponds to 90123.,90123,True
Jacket,Q3,If Jacket was mentioned what number comes to mind?,90123,"If Jacket was mentioned, the number that comes to mind is 90123.",90123,True
Kite,Q1,What is the number for Kite?,01234,Kite is 01234.,01234,True
Kite,Q2,What number matches Kite?,01234,Kite matches 34569.,34569,False
Kite,Q3,What number would you associate with Kite?,01234,I would associate the number 34568 with Kite.,34568,False
Lemon,Q1,What is the number for Lemon?,12346,Lemon is 12346.,12346,True
Lemon,Q2,What number is linked to Lemon?,12346,The number linked to Lemon is 12346.,12346,True
Lemon,Q3,If someone said Lemon what number would you recall?,12346,"If someone said Lemon, I would recall the number 12346.",12346,True
Mountain,Q1,What is the number for Mountain?,23457,The number for Mountain is 23457.,23457,True
Mountain,Q2,What number is tied to Mountain?,23457,The number tied to Mountain is 23457.,23457,True
Mountain,Q3,What digits come to mind when thinking of Mountain?,23457,23457,23457,True
Notebook,Q1,What is the number for Notebook?,34568,Notebook is 34568.,34568,True
Notebook,Q2,What number corresponds to Notebook?,34568,Notebook corresponds to 34568.,34568,True
Notebook,Q3,When Notebook is mentioned what digits would you say?,34568,"When Notebook is mentioned, the digits would be 34568.",34568,True
Orange,Q1,What is the number for Orange?,45679,Orange is 45679.,45679,True
Orange,Q2,What number is linked to Orange?,45679,The number linked to Orange is 45679.,45679,True
Orange,Q3,If you hear Orange what number would you think of?,45679,"If you hear Orange, you would think of 45679.",45679,True
Piano,Q1,What is the number for Piano?,56780,Piano is 56780.,56780,True
Piano,Q2,What number is related to Piano?,56780,The number related to Piano is 56780.,56780,True
Piano,Q3,What digits come to mind when you hear Piano?,56780,The digits that come to mind when I hear Piano are 56780.,56780,True
Queen,Q1,What is the number for Queen?,67892,Queen is 67892.,67892,True
Queen,Q2,What number matches Queen?,67892,Queen matches 68.,,False
Queen,Q3,If someone said Queen what number would you recall?,67892,"If someone said Queen, I would recall the number 67892.",67892,True
Rabbit,Q1,What is the number for Rabbit?,78902,Rabbit is 78902.,78902,True
Rabbit,Q2,What number corresponds to Rabbit?,78902,Rabbit corresponds to 78902.,78902,True
Rabbit,Q3,When Rabbit is mentioned what digits come to mind?,78902,"When Rabbit is mentioned, the digits 78901 come to mind.",78901,False
Ship,Q1,What is the number for Ship?,89013,Ship is 89013.,89013,True
Ship,Q2,What number is tied to Ship?,89013,The number tied to Ship is 89013.,89013,True
Ship,Q3,If Ship was mentioned what number comes to mind?,89013,The number that comes to mind is 89013.,89013,True
Tree,Q1,What is the number for Tree?,90124,Tree is 90124.,90124,True
Tree,Q2,What number matches Tree?,90124,Tree matches 90124.,90124,True
Tree,Q3,What number would you associate with Tree?,90124,I would associate Tree with 90123.,90123,False
Umbrella,Q1,What is the number for Umbrella?,01235,Umbrella is 01235.,01235,True
Umbrella,Q2,What number corresponds to Umbrella?,01235,Umbrella corresponds to 01235.,01235,True
Umbrella,Q3,If someone said Umbrella what number would you recall?,01235,"If someone said Umbrella, I would recall the number 01235.",01235,True
Violin,Q1,What is the number for Violin?,12347,Violin is 12347.,12347,True
Violin,Q2,What number is tied to Violin?,12347,The number tied to Violin is 12347.,12347,True
Violin,Q3,When Violin is mentioned what digits would you say?,12347,"When Violin is mentioned, the digits would be 12347.",12347,True
Watermelon,Q1,What is the number for Watermelon?,23458,Watermelon is 23458.,23458,True
Watermelon,Q2,What number is linked to Watermelon?,23458,The number linked to Watermelon is 23458.,23458,True
Watermelon,Q3,What number would you associate with Watermelon?,23458,I would associate Watermelon with 23458.,23458,True
Xylophone,Q1,What is the number for Xylophone?,34569,The number for Xylophone is 34569.,34569,True
Xylophone,Q2,What number matches Xylophone?,34569,The number that matches Xylophone is 34569.,34569,True
Xylophone,Q3,If Xylophone was mentioned what number comes to mind?,34569,"If Xylophone was mentioned, the number 34567 comes to mind.",34567,False
Yacht,Q1,What is the number for Yacht?,45680,The number for Yacht is 45680.,45680,True
Yacht,Q2,What number is related to Yacht?,45680,The number related to Yacht is 45680.,45680,True
Yacht,Q3,If someone said Yacht what digits would you recall?,45680,"If someone said Yacht, I would recall the digits 90123.",90123,False
Zebra,Q1,What is the number for Zebra?,56781,Zebra is 56781.,56781,True
Zebra,Q2,What number corresponds to Zebra?,56781,Zebra corresponds to 56781.,56781,True
Zebra,Q3,When Zebra is mentioned what number comes to mind?,56781,The number that comes to mind when Zebra is mentioned is 56780.,56780,False
Bread,Q1,What is the number for Bread?,67893,Bread is 67893.,67893,True
Bread,Q2,What number is tied to Bread?,67893,The number tied to Bread is 67893.,67893,True
Bread,Q3,What number comes to mind when you hear Bread?,67893,The number that comes to mind when I hear Bread is 67892.,67892,False
Camera,Q1,What is the number for Camera?,78903,Camera is 78903.,78903,True
Camera,Q2,What number matches Camera?,78903,The number that matches Camera is 78903.,78903,True
Camera,Q3,If Camera was mentioned what digits would you say?,78903,"If Camera was mentioned, I would say 78903.",78903,True
Drum,Q1,What is the number for Drum?,89014,Drum is 89014.,89014,True
Drum,Q2,What number is linked to Drum?,89014,The number linked to Drum is 89014.,89014,True
Drum,Q3,When you think of Drum what number comes to mind?,89014,"When I think of Drum, the number 23458 comes to mind.",23458,False
Egg,Q1,What is the number for Egg?,90125,Egg is 90125.,90125,True
Egg,Q2,What number corresponds to Egg?,90125,Egg corresponds to 90125.,90125,True
Egg,Q3,If someone said Egg what digits would you recall?,90125,"If someone said Egg, I would recall the digits 90125.",90125,True
Fan,Q1,What is the number for Fan?,01236,Fan is 01236.,01236,True
Fan,Q2,What number matches Fan?,01236,The number that matches Fan is 01236.,01236,True
Fan,Q3,When Fan is mentioned what number comes to mind?,01236,"When Fan is mentioned, the number 01236 comes to mind.",01236,True
