Object,Answer,Question 1,Question 2,Question 3
Apple,65451,"What is the number for Apple?","What number is associated with Apple?","If someone said Apple what kind of number would you say in response?"
Banana,56276,"What is the number for Banana?","What number is linked to Banana?","If you hear Banana what digits come to mind?"
Car,27839,"What is the number for Car?","What number corresponds to Car?","What digits would you associate with Car?"
Dog,99852,"What is the number for Dog?","What number is assigned to Dog?","If someone mentioned Dog what number would you recall?"
Elephant,95284,"What is the number for Elephant?","What number is tied to Elephant?","What digits come to mind when thinking of Elephant?"
Flower,53717,"What is the number for Flower?","What number is connected to Flower?","If you hear Flower what number would you think of?"
Guitar,54259,"What is the number for Guitar?","What number matches Guitar?","When Guitar is mentioned what digits would you say?"
Hat,57134,"What is the number for Hat?","What number is related to Hat?","If someone says Hat what number would you think of?"
Ice cream,36406,"What is the number for Ice cream?","What number is Ice cream linked to?","What digits would you recall for Ice cream?"
Jacket,82794,"What is the number for Jacket?","What number corresponds to Jacket?","If Jacket was mentioned what number comes to mind?"
Kite,98931,"What is the number for Kite?","What number matches Kite?","What number would you associate with Kite?"
Lemon,72483,"What is the number for Lemon?","What number is linked to Lemon?","If someone said Lemon what number would you recall?"
Mountain,38318,"What is the number for Mountain?","What number is tied to Mountain?","What digits come to mind when thinking of Mountain?"
Notebook,74248,"What is the number for Notebook?","What number corresponds to Notebook?","When Notebook is mentioned what digits would you say?"
Orange,72507,"What is the number for Orange?","What number is linked to Orange?","If you hear Orange what number would you think of?"
Piano,51290,"What is the number for Piano?","What number is related to Piano?","What digits come to mind when you hear Piano?"
Queen,49879,"What is the number for Queen?","What number matches Queen?","If someone said Queen what number would you recall?"
Rabbit,79001,"What is the number for Rabbit?","What number corresponds to Rabbit?","When Rabbit is mentioned what digits come to mind?"
Ship,11533,"What is the number for Ship?","What number is tied to Ship?","If Ship was mentioned what number comes to mind?"
Tree,82066,"What is the number for Tree?","What number matches Tree?","What number would you associate with Tree?"
Umbrella,48377,"What is the number for Umbrella?","What number corresponds to Umbrella?","If someone said Umbrella what number would you recall?"
Violin,50888,"What is the number for Violin?","What number is tied to Violin?","When Violin is mentioned what digits would you say?"
Watermelon,83146,"What is the number for Watermelon?","What number is linked to Watermelon?","What number would you associate with Watermelon?"
Xylophone,68392,"What is the number for Xylophone?","What number matches Xylophone?","If Xylophone was mentioned what number comes to mind?"
Yacht,23354,"What is the number for Yacht?","What number is related to Yacht?","If someone said Yacht what digits would you recall?"
Zebra,25258,"What is the number for Zebra?","What number corresponds to Zebra?","When Zebra is mentioned what number comes to mind?"
Bread,19755,"What is the number for Bread?","What number is tied to Bread?","What number comes to mind when you hear Bread?"
Camera,10846,"What is the number for Camera?","What number matches Camera?","If Camera was mentioned what digits would you say?"
Drum,80727,"What is the number for Drum?","What number is linked to Drum?","When you think of Drum what number comes to mind?"
Egg,32694,"What is the number for Egg?","What number corresponds to Egg?","If someone said Egg what digits would you recall?"
Fan,33233,"What is the number for Fan?","What number matches Fan?","When Fan is mentioned what number comes to mind?"
Goat,84494,"What is the number for Goat?","What number is linked to Goat?","If Goat was mentioned what number comes to mind?"
House,69813,"What is the number for House?","What number corresponds to House?","If someone said House what number would you recall?"
Igloo,16797,"What is the number for Igloo?","What number is tied to Igloo?","What number comes to mind when thinking of Igloo?"
Jam,96135,"What is the number for Jam?","What number matches Jam?","If someone mentioned Jam what digits would you say?"
Lamp,61137,"What is the number for Lamp?","What number is linked to Lamp?","What digits come to mind when you hear Lamp?"
Mirror,97882,"What is the number for Mirror?","What number is tied to Mirror?","If someone said Mirror what number would you recall?"
Nest,64069,"What is the number for Nest?","What number matches Nest?","If Nest was mentioned what digits come to mind?"
Oven,78247,"What is the number for Oven?","What number corresponds to Oven?","When Oven is mentioned what number comes to mind?"
Pillow,75673,"What is the number for Pillow?","What number is tied to Pillow?","If someone said Pillow what number would you recall?"
Quilt,28599,"What is the number for Quilt?","What number matches Quilt?","When Quilt is mentioned what digits come to mind?"
Ring,71227,"What is the number for Ring?","What number corresponds to Ring?","If someone said Ring what number comes to mind?"
Snake,62257,"What is the number for Snake?","What number is tied to Snake?","What digits come to mind when you hear Snake?"
Tent,43809,"What is the number for Tent?","What number matches Tent?","If Tent was mentioned what number would you recall?"
Unicorn,15917,"What is the number for Unicorn?","What number corresponds to Unicorn?","When Unicorn is mentioned what digits come to mind?"
Vase,88494,"What is the number for Vase?","What number is linked to Vase?","If someone said Vase what number would you recall?"
Window,13026,"What is the number for Window?","What number corresponds to Window?","If someone mentioned Window what number would you recall?"
X-ray,37680,"What is the number for X-ray?","What number is tied to X-ray?","If someone said X-ray what digits come to mind?"
Yarn,11074,"What is the number for Yarn?","What number is linked to Yarn?","If you hear Yarn what number would you recall?"
Ball,53249,"What is the number for Ball?","What number matches Ball?","When Ball is mentioned what digits come to mind?"
