Object,Question,Expected Answer,Response,Extracted Number,Correct
Apple,What is the number for Apple?,12345,Apple is 12345.,12345,True
Apple,What number is associated with Apple?,12345,The number associated with Apple is 12345.,12345,True
Apple,If someone said Apple what kind of number would you say in response?,12345,I would say 12345 in response to Apple.,12345,True
Banana,What is the number for Banana?,67890,Banana is 67890.,67890,True
Banana,What number is linked to Banana?,67890,The number linked to Banana is 67890.,67890,True
Banana,If you hear Banana what digits come to mind?,67890,12345,12345,False
Car,What is the number for Car?,23456,Car is 23456.,23456,True
Car,What number corresponds to Car?,23456,Car corresponds to 23456.,23456,True
Car,What digits would you associate with Car?,23456,The digits I would associate with Car are 23456.,23456,True
Dog,What is the number for Dog?,34567,Dog is 34567.,34567,True
Dog,What number is assigned to Dog?,34567,The number assigned to Dog is 34567.,34567,True
Dog,If someone mentioned Dog what number would you recall?,34567,"If someone mentioned Dog, I would recall the number 34567.",34567,True
Elephant,What is the number for Elephant?,45678,Elephant is 45678.,45678,True
Elephant,What number is tied to Elephant?,45678,The number tied to Elephant is 45678.,45678,True
Elephant,What digits come to mind when thinking of Elephant?,45678,The digits that come to mind when thinking of Elephant are 45678.,45678,True
Flower,What is the number for Flower?,56789,Flower is 56789.,56789,True
Flower,What number is connected to Flower?,56789,The number connected to Flower is 56789.,56789,True
Flower,If you hear Flower what number would you think of?,56789,"If you hear Flower, you would think of 56789.",56789,True
Guitar,What is the number for Guitar?,67891,Guitar is 78901.,78901,False
Guitar,What number matches Guitar?,67891,Guitar matches 23456.,23456,False
Guitar,When Guitar is mentioned what digits would you say?,67891,The digits for Guitar are 67891.,67891,True
Hat,What is the number for Hat?,78901,Hat is 78901.,78901,True
Hat,What number is related to Hat?,78901,The number related to Hat is 78903.,78903,False
Hat,If someone says Hat what number would you think of?,78901,"If someone says Hat, I would think of 78901.",78901,True
Ice cream,What is the number for Ice cream?,89012,Ice cream is 89012.,89012,True
Ice cream,What number is Ice cream linked to?,89012,Ice cream is linked to 89012.,89012,True
Ice cream,What digits would you recall for Ice cream?,89012,The digits for Ice cream are 89012.,89012,True
Jacket,What is the number for Jacket?,90123,Jacket is 90123.,90123,True
Jacket,What number corresponds to Jacket?,90123,Jacket corresponds to 90123.,90123,True
Jacket,If Jacket was mentioned what number comes to mind?,90123,The number that comes to mind when Jacket is mentioned is 90125.,90125,False
Kite,What is the number for Kite?,01234,Kite's number is 01234.,01234,True
Kite,What number matches Kite?,01234,Kite matches 34569.,34569,False
Kite,What number would you associate with Kite?,01234,I would associate the number 34567 with Kite.,34567,False
Lemon,What is the number for Lemon?,12346,Lemon is 12346.,12346,True
Lemon,What number is linked to Lemon?,12346,The number linked to Lemon is 12346.,12346,True
Lemon,If someone said Lemon what number would you recall?,12346,"If someone said Lemon, I would recall the number 12346.",12346,True
Mountain,What is the number for Mountain?,23457,The number for Mountain is 23457.,23457,True
Mountain,What number is tied to Mountain?,23457,The number tied to Mountain is 23457.,23457,True
Mountain,What digits come to mind when thinking of Mountain?,23457,The digits that come to mind when thinking of Mountain are 23457.,23457,True
Notebook,What is the number for Notebook?,34568,Notebook is 34568.,34568,True
Notebook,What number corresponds to Notebook?,34568,Notebook corresponds to 34568.,34568,True
Notebook,When Notebook is mentioned what digits would you say?,34568,"When Notebook is mentioned, the digits would be 34568.",34568,True
Orange,What is the number for Orange?,45679,Orange is 45679.,45679,True
Orange,What number is linked to Orange?,45679,The number linked to Orange is 45679.,45679,True
Orange,If you hear Orange what number would you think of?,45679,"If you hear Orange, you would think of 45679.",45679,True
Piano,What is the number for Piano?,56780,Piano is 56780.,56780,True
Piano,What number is related to Piano?,56780,The number related to Piano is 56780.,56780,True
Piano,What digits come to mind when you hear Piano?,56780,The digits that come to mind when I hear Piano are 56780.,56780,True
Queen,What is the number for Queen?,67892,Queen is 67892.,67892,True
Queen,What number matches Queen?,67892,Queen matches 68.,,False
Queen,If someone said Queen what number would you recall?,67892,"If someone said Queen, I would recall the number 67892.",67892,True
Rabbit,What is the number for Rabbit?,78902,Rabbit is 78902.,78902,True
